라차, 86, 159
가하, 50, 178
바가, 79, 157
하파, 47, 186
나나, 91, 195
바나, 58, 183
가라, 51, 199
아하, 85, 153
아차, 41, 172
하바, 74, 155
사파, 52, 155
아하, 73, 180
가다, 82, 189
마바, 48, 173
카나, 44, 145
타나, 64, 197
자가, 98, 169
카나, 75, 145
사파, 61, 174
가파, 92, 152
차차, 52, 192
파마, 48, 196
다자, 77, 153
마파, 66, 197
차파, 95, 181
바자, 69, 195
다카, 56, 193
사카, 66, 174
바나, 44, 199
카다, 45, 162
다파, 95, 148
카라, 80, 163
파타, 67, 142
카다, 53, 188
다라, 98, 147
라하, 69, 199
다라, 73, 154
라사, 64, 173
마바, 88, 167
타다, 93, 172
차파, 91, 165
파카, 61, 187
가타, 84, 157
카아, 46, 178
하차, 74, 191
다아, 43, 155
라아, 66, 142
다파, 46, 189
자가, 74, 144
타아, 94, 154
마가, 45, 173
파자, 44, 154
사차, 89, 158
가차, 83, 184
차파, 67, 174
사파, 57, 189
마라, 94, 164
타나, 86, 146
아마, 66, 175
차라, 59, 195
타나, 42, 147
라타, 87, 146
나다, 59, 177
바타, 54, 140
아타, 86, 183
하나, 90, 144
바파, 71, 158
타차, 60, 179
차마, 88, 179
자바, 98, 183
라자, 62, 146
아파, 45, 184
다자, 81, 145
나파, 88, 198
라하, 47, 152
다아, 40, 160
가사, 93, 173
사카, 86, 166
타바, 46, 182
가차, 90, 183
사자, 83, 144
파마, 83, 185
마다, 75, 147
다타, 50, 182
하자, 58, 153
다타, 79, 194
마아, 49, 156
사자, 92, 194
마나, 68, 183
하마, 93, 174
카자, 85, 168
사파, 99, 156
가마, 66, 191
나타, 56, 187
라하, 56, 165
가가, 70, 160
아하, 54, 140
사아, 77, 189
나차, 50, 175
라하, 59, 183
사다, 52, 170
아마, 96, 171
타파, 54, 160
하마, 96, 150
하타, 69, 157
타차, 70, 174
라사, 40, 181
마아, 42, 174
차차, 85, 179
자나, 84, 159
차차, 50, 166
타자, 64, 145
카파, 95, 164
파타, 61, 149
나카, 88, 165
가라, 69, 143
하파, 67, 168
자가, 41, 161
가자, 44, 197
아마, 63, 152
아타, 45, 187
바카, 87, 143
아자, 81, 179
바바, 56, 196
하라, 65, 154
나바, 54, 141
다라, 93, 146
하아, 41, 178
가파, 75, 194
라하, 62, 195
사파, 96, 166
타가, 51, 179
파차, 79, 182
파자, 84, 186
파나, 46, 179
아아, 56, 178
나라, 95, 179
라나, 42, 161
타하, 78, 157
카카, 44, 187
바나, 42, 140
아나, 44, 198
아라, 83, 168
가다, 60, 187
나타, 90, 182
카라, 41, 198
라하, 99, 140
바파, 44, 148
아하, 52, 195
자가, 40, 193
파자, 90, 150
자바, 60, 148
타바, 93, 153
다하, 57, 142
마사, 62, 176
카타, 61, 199
파차, 97, 149
사마, 64, 175
파다, 52, 168
나다, 60, 151
타타, 94, 140
자카, 77, 144
하카, 96, 159
파가, 97, 195
나아, 43, 145
라다, 64, 198
카파, 55, 164
자하, 74, 172
마하, 70, 193
차바, 65, 198
다타, 54, 140
카카, 42, 167
타카, 64, 189
자마, 86, 164
파타, 87, 155
가카, 58, 154
다파, 88, 183
바카, 84, 183
자자, 42, 153
사차, 91, 196
아차, 80, 149
마차, 73, 173
바타, 73, 172
바아, 58, 188
아타, 96, 193
타바, 70, 155
다나, 54, 158
타라, 75, 171
가바, 52, 164
타아, 41, 160
마하, 93, 183
나하, 95, 183
타사, 79, 177
하사, 41, 153
자다, 72, 167
나바, 96, 181
하카, 91, 167
바파, 63, 191
라다, 53, 196
사타, 99, 196
나다, 80, 167
라자, 65, 190
자자, 92, 185
다아, 49, 196
파자, 53, 158
가바, 46, 149
사차, 96, 161
파타, 67, 159
자바, 43, 142
타하, 52, 166
마파, 72, 193
마바, 50, 152
사하, 68, 164
라카, 42, 151
하바, 89, 145
나나, 95, 147
하파, 55, 174
카나, 80, 199
자라, 66, 178
파라, 57, 149
아카, 48, 173
카아, 89, 170
사타, 71, 156
하차, 89, 189
가타, 66, 177
타아, 71, 184
차파, 98, 153
카마, 70, 194
바타, 41, 164
다타, 99, 191
라마, 87, 149
아마, 48, 148
마타, 67, 171
아하, 40, 154
사나, 69, 152
사타, 65, 169
차아, 40, 153
라마, 92, 162
파카, 80, 198
파타, 52, 192
타타, 45, 185
타나, 43, 193
파파, 74, 145
카카, 84, 153
나차, 60, 168
자라, 73, 158
바다, 96, 191
가마, 96, 178
다아, 79, 199
사바, 59, 188
라아, 51, 168
차라, 96, 175
타가, 53, 188
나카, 77, 161
파자, 94, 197
나바, 55, 186
차나, 42, 151
타타, 98, 189
카사, 56, 171
바아, 97, 171
하바, 60, 183
자아, 91, 179
파다, 81, 145
하아, 74, 198
사나, 88, 196
라타, 60, 174
타다, 55, 196
바자, 56, 183
다파, 85, 175
라나, 97, 181
바타, 42, 176
